timestamp,sig generator,sig_id,sig_rev,msg,proto,src,src_port,dst,dst_port,ethsrc,ethdst,ethlen,txpflags,tcpseq,tcppack,tcplen,tcpwindow,ttl,tos,id,dgmlen,iplen,icmptype,icmp code,icmp_id,icmp_seq
10/06-13:12:57.894103 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD6A50,0x91DC3AB9,,0x5A4,41,16,19639,96,98304,,,,
10/06-13:12:57.894103 ,128,4,1,(spp_ssh) Protocol mismatch,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD6A50,0x91DC3AB9,,0x5A4,41,16,19639,96,98304,,,,
10/06-13:12:58.057415 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD6A7C,0x91DC3B45,,0x5A4,41,16,19640,52,53248,,,,
10/06-13:12:58.387068 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD6A7C,0x91DC3B45,,0x5A4,41,16,19641,96,98304,,,,
10/06-13:12:58.387068 ,128,4,1,(spp_ssh) Protocol mismatch,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xFEFD6A7C,0x91DC3B45,,0x5A4,41,16,19641,96,98304,,,,
10/06-13:12:58.549799 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD6AA8,0x91DC3B99,,0x5A4,41,16,19642,52,53248,,,,
10/06-13:12:58.924271 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD6AA8,0x91DC3B99,,0x5A4,41,16,19643,88,90112,,,,
10/06-13:12:58.924271 ,128,4,1,(spp_ssh) Protocol mismatch,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xFEFD6AA8,0x91DC3B99,,0x5A4,41,16,19643,88,90112,,,,
10/06-13:12:59.087107 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD6ACC,0x91DC4139,,0x5A4,41,16,19644,52,53248,,,,
10/06-13:12:59.087126 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD6ACC,0x91DC46D9,,0x5A4,41,16,19645,52,53248,,,,
10/06-13:12:59.087129 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD6ACC,0x91DC4BBD,,0x5A4,41,16,19646,52,53248,,,,
10/06-13:12:59.087131 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD6ACC,0x91DC515D,,0x5A4,41,16,19647,52,53248,,,,
10/06-13:12:59.087133 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD6ACC,0x91DC56FD,,0x5A4,41,16,19648,52,53248,,,,
10/06-13:12:59.087135 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD6ACC,0x91DC5BE1,,0x5A4,41,16,19649,52,53248,,,,
10/06-13:12:59.087137 ,129,20,1,TCP session without 3-way handshake,TCP,95.233.32.171,56781,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x42,***A****,0xFEFD6ACC,0x91DC5F85,,0x5A4,41,16,19650,52,53248,,,,
10/06-13:13:32.832834 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,80.211.226.193,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,41,192,586,68,69632,3,10,0,0
10/06-13:14:18.574791 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,80.211.173.234,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,43,192,11754,68,69632,3,10,0,0
10/06-13:14:28.914448 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,80.211.226.193,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,41,192,587,68,69632,3,10,0,0
10/06-13:14:37.381187 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,134.119.193.57,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,38,200,33606,68,69632,3,10,0,0
10/06-13:15:16.084692 ,129,20,1,TCP session without 3-way handshake,TCP,185.180.14.91,247,172.31.45.111,48144,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x36,***A**S*,0x1,0x2,,0x0,44,0,0,40,40960,,,,
10/06-13:15:16.084728 ,129,20,1,TCP session without 3-way handshake,TCP,172.31.45.111,48144,185.180.14.91,247,0A:83:E0:F6:C7:B0,0A:55:D0:F7:8D:E6,0x36,*****R**,0x2,0x0,,0x0,64,0,37438,40,40960,,,,
10/06-13:15:37.787484 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,134.119.193.57,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,38,200,33607,68,69632,3,10,0,0
10/06-13:16:05.770962 ,129,20,1,TCP session without 3-way handshake,TCP,185.180.14.91,247,172.31.45.111,48144,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x36,***A**S*,0x1,0x2,,0x0,44,0,0,40,40960,,,,
10/06-13:16:05.770988 ,129,20,1,TCP session without 3-way handshake,TCP,172.31.45.111,48144,185.180.14.91,247,0A:83:E0:F6:C7:B0,0A:55:D0:F7:8D:E6,0x36,*****R**,0x2,0x0,,0x0,64,0,46716,40,40960,,,,
10/06-13:16:17.467050 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,134.119.193.57,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,38,200,33608,68,69632,3,10,0,0
10/06-13:17:15.216262 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,60417,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xF1BA8666,0x6CEBC788,,0x128,39,0,39743,96,98304,,,,
10/06-13:17:25.037973 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,60417,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x66,***AP***,0xF1BA8E66,0x6CEBC9B0,,0x13F,39,8,39751,88,90112,,,,
10/06-13:17:31.420014 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,95.233.32.171,59707,172.31.45.111,22,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x6E,***AP***,0xA46D57F6,0x1812581B,,0x128,41,0,31002,96,98304,,,,
10/06-13:17:35.293546 ,1,486,4,ICMP Destination Unreachable Communication with Destination Host is Administratively Prohibited,ICMP,134.119.193.57,,172.31.45.111,,0A:55:D0:F7:8D:E6,0A:83:E0:F6:C7:B0,0x52,,,,,,38,200,33609,68,69632,3,10,0,0
