dst_port,dgmlen,iplen,src
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,80.211.173.234
22,116,118784,82.147.142.202
51860,74,75776,172.31.0.2
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,81,82944,159.153.28.41
,68,69632,217.61.7.232
,68,69632,134.119.193.57
22,116,118784,185.21.16.108
36366,75,76800,172.31.0.2
44139,75,76800,172.31.0.2
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,112.49.24.85
,68,69632,134.119.193.57
,68,69632,217.61.7.232
,68,69632,134.119.193.57
,68,69632,80.211.173.234
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,217.61.7.232
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,80.211.173.234
,68,69632,217.61.7.232
,68,69632,134.119.193.57
,68,69632,217.61.110.11
,68,69632,134.119.193.57
,68,69632,194.36.173.66
,68,69632,217.61.110.11
,68,69632,134.119.193.57
22,88,90112,121.124.124.73
,68,69632,134.119.193.57
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
,68,69632,134.119.193.57
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
22,88,90112,121.124.124.73
,68,69632,217.61.7.232
22,88,90112,121.124.124.73
,68,69632,80.211.173.234
,68,69632,134.119.193.57
22,104,106496,60.223.226.154
51287,92,94208,172.31.0.2
,68,69632,80.211.226.193
22,104,106496,60.223.226.154
22,104,106496,60.223.226.154
22,104,106496,60.223.226.154
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,217.61.7.232
22,116,118784,37.59.9.162
35009,85,87040,172.31.0.2
57388,85,87040,172.31.0.2
,68,69632,134.119.193.57
,68,69632,217.61.7.232
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,112.49.24.85
,68,69632,80.211.173.234
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,217.61.7.232
22,116,118784,201.39.71.75
48103,98,100352,172.31.0.2
57702,98,100352,172.31.0.2
,68,69632,134.119.193.57
,68,69632,80.211.173.234
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,134.119.193.57
,68,69632,217.61.7.232
,68,69632,134.119.193.57
22,116,118784,14.246.75.64
36505,76,77824,172.31.0.2
22,116,118784,201.39.71.75
33721,98,100352,172.31.0.2
49637,98,100352,172.31.0.2
